season,team,def_rush_epa,def_pass_epa,def_rec_epa
2025,ARI,0.0156275827213769,0.1539173238535411,0.3075910770896866
2025,ATL,0.029717550179253,-0.0128342085422745,0.1931492500678138
2025,BAL,-0.0509245864296068,0.0865029579697227,0.2317618647951478
2025,BUF,0.0781357507426724,-0.1100954053126615,0.0729763889682436
2025,CAR,0.0171189646927215,0.120853670459477,0.2601594568517862
2025,CHI,-0.0040765916972794,0.0359064425424888,0.1934067575866106
2025,CIN,0.0914783937563239,0.1488184770013782,0.3175223152407782
2025,CLE,-0.0535014405800782,-0.0934750291052664,0.1084884488192489
2025,DAL,0.088112880571564,0.2025216465210277,0.3919960578092384
2025,DEN,-0.0461538205090584,-0.1245909158469976,0.0852252344326208
2025,DET,-0.0286370608589624,-0.0183122500589104,0.163201257205938
2025,GB,-0.0221358435362416,0.0632172515408665,0.244531164695308
2025,HOU,-0.0571284474373664,-0.184169217233436,0.0181299313025165
2025,IND,-0.0540898948892758,0.0325422238463559,0.1804339078678276
2025,JAX,-0.0278195329307539,-0.1474090968115313,-0.0433769494772867
2025,KC,-0.0439532821682097,-0.0053985668391241,0.1408296707909403
2025,LA,-0.0466632402979183,-0.0843152362247161,0.0801356741299744
2025,LAC,-0.0987258360325646,-0.1144463600601328,0.0443268899431091
2025,LV,-0.0552670933479201,0.0620606419479376,0.2370560769138027
2025,MIA,0.0171554815889681,0.1368424743126528,0.3199478030187689
2025,MIN,-0.0576908753276775,-0.1634420418287629,0.0640765145814386
2025,NE,-0.0322311095544201,-0.0584258705102242,0.0857664290009887
2025,NO,-0.0850211984424092,-0.056602577279925,0.1716451619117988
2025,NYG,0.1445325574428667,0.0302245704438316,0.1738852158241094
2025,NYJ,0.0083698942647844,0.2471447639483549,0.3859250230897532
2025,PHI,-0.0187531527367921,-0.1381280391158638,0.0164049532603606
2025,PIT,-0.0006913913700672,0.0162145165242336,0.1957366352634507
2025,SEA,-0.1525982985411959,-0.1230306603066436,0.0533630055358352
2025,SF,0.0012759566320399,0.1169265828978374,0.2041736547248085
2025,TB,-0.0759372398634897,0.0854340569688627,0.2232599981738064
2025,TEN,0.0039774005721638,0.1672993765401064,0.3768341367677156
2025,WAS,0.0714921107517143,0.1930818293445685,0.3511196741864226
